,SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,SRO,NA2O,K2O,P2O5,BAO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,MN,NI,CO,CU,CD,ZN,AS,AG,S,CA,HE,HE4,HE3_HE4,HE3_HE4_R_RA,AR36,AR40,AR40_RG,AR38_AR36,AR40_AR36,NE,NE20,NE22,NE20_NE22,NE21_NE22,KR78,KR80,KR82,KR83,KR84,KR86,XE,XE124,XE126,XE128,XE129,XE130,XE131,XE132,XE134,XE136,XE129_XE132,XE131_XE132,XE134_XE132,XE136_XE132,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,AG,AS,B,BA,BE,BI,BR,C,CA,CD,CO,CR,CS,CU,GA,GER,HF,HG,INDIUM,IR,K,LI,MN,MO,NB,NI,OS,P,PB,PD,PT,RB,RE,RH,RU,S,SB,SC,SE,SN,SR,TA,TE,TH,TI,TL,U,V,W,Y,ZN,ZR,ZR2O3,TI,AS,AS,GER,H2O_M,H2O_P,H2O_M,H2O_P,INDIUM
11,DODSIE-CP-204,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,53.6,1.11,12.8,0.06,,,3.92,,0.02,0.1,7.94,7.35,0.08,2.58,2.53,0.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
12,DODSIE-CP-214,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,CALC,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DODSIE-CP-214,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,Unknown,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,,,,,,,,,,,,,,,,0.53,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.72,0.53,0.72,
14,DODSIE-CP-214,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,53.1,1.26,13.1,0.08,,,4.66,,0.02,0.12,8.48,7.93,0.07,2.72,2.48,0.47,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
15,DSDP074-0525A-053R-003W/087-097,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,43.2,2.16,17.87,,6.02,,,,,0.12,0.93,14.34,,3.64,0.98,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DSDP074-0525A-056R-002W/068-079,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,43.78,2.25,13.78,,11.9,,,,,0.23,3.92,12.46,,3,0.98,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DSDP074-0525A-056R-002W/068-079,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,31,58.7,,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,55.1,6.9,29.71,6.6,2.15,6.89,1.06,6.38,1.25,3.33,0.469,2.96,0.439,,,,310,,,,,,,31,38.8,,58.7,20.6,,4.77,,,,,7.38,,,18.5,22.9,,,2.71,,,13.34,,,,,,32,,,392,1.02,,2.43,,,0.615,301.2,,34.1,94.5,205,,,,,,,,,,
18,DSDP074-0525A-056R-002W/068-079,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DSDP074-0525A-057R-005W/141-148,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,48.61,2.42,14.13,,12.08,,,,,0.12,5.51,9.04,,3.14,1.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DSDP074-0525A-057R-005W/141-148,,EARTHCHEMDB,10.1038/ncomms8799,HOW AND WHEN PLUME ZONATION APPEARED DURING THE 132 MYR EVOLUTION OF THE TRISTAN HOTSPOT,NATURE COMMUNICATIONS,"HOERNLE, K; ROHDE, J; HAUFF, F; GARBE-SCHÖNBERG, D; HOMRIGHAUSEN, S; WERNER, R; MORGAN, J P",DSDP074,-29.0707,2.9853,0.0001,-2467,-2467,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,34.3,55.7,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,57.6,7.25,30.78,6.83,2.23,6.9,1.05,6.2,1.2,3.13,0.437,2.77,0.41,,,,341,,,,,,,34.3,48.5,,55.7,22,,5.3,,,,,8.35,,,20.3,25.5,,,1.74,,,13.48,,,,,,32.9,,,396,1.13,,2.67,,,0.621,313.4,,31.7,99,232,,,,,,,,,,
